    phi1        Phi       phi2      phase         ci         iq sem_signal          x          y    grainId
     227    3.99925    343.998          0      0.391     3169.6          1          0          0          1
 298.932    155.674    301.718          0        0.7     3173.6      17605         12          0          7
  298.03    155.571    301.047          0      0.614     3147.5      17328         24          0          7
 298.509    155.642    301.608          0      0.823     3305.9      17295         36          0          7
 298.956    155.845    302.095          0      0.527     2912.5      19095         48          0          7
 298.354    155.753    301.087          0      0.632     2976.8      17766         60          0          7
 298.702    155.547    301.802          0      0.791     3143.4      18189         72          0          7
 298.793    155.811    301.425          0      0.882     3411.8      18203         84          0          7
 298.433    155.486    301.614          0      0.505     3304.9      16712         96          0          7
 281.615     147.97    306.664          0      0.705     2687.6      18552        108          0         12
 101.667    31.8822    113.202          0      0.664     2883.7      17457        120          0         12
  281.73    147.869    306.537          0      0.427     3026.4      17895        132          0         12
 109.473    36.6802    64.2372          0      0.455     2525.4      17837        144          0          8
  109.77    36.9535    63.7118          0      0.609     3107.1      18330        156          0          8
 110.016    36.8779    63.5227          0      0.773     3227.6      18165        168          0          8
 109.318    36.7976    64.3191          0      0.314       3272      19169        180          0          8
 109.564    36.7816    304.079          0      0.709     2832.2      17923        192          0          8
 289.466    143.117    295.946          0      0.218     3067.9      18963        204          0          8
  109.56    36.4264    64.0091          0      0.827     3521.8      19345        216          0          8
  109.74    36.6349    304.261          0      0.605     2898.1      17462        228          0          8
 109.653    36.4567    64.2727          0      0.514     3548.1      16584        240          0          8
 109.251    36.5925    64.2498          0      0.877     3388.5      17574        252          0          8
 109.366    36.5708     304.28          0      0.605     3223.4      18434        264          0          8
 109.276    36.4464    64.4537          0      0.791     3048.8      17808        276          0          8
  109.24    36.5753    64.7007          0      0.864     3177.8      18108        288          0          8
 109.185    36.5117    64.9304          0      0.855       3457      18345        300          0          8
  110.14    36.7277    63.9112          0      0.677     2992.4      18883        312          0          8
  132.64     66.859    4.21812          0      0.005     2301.4      16881        324          0          4
 312.358    114.244    115.353          0      0.377     2791.5      16753        336          0          4
 132.327    65.3917    244.665          0      0.527     2845.4      19049        348          0          4
 133.054    65.4891    64.5517          0      0.355     3135.5      17430        360          0          4
  132.54    65.8752    64.5781          0       0.45     2983.6      17613        372          0          4
 132.595    65.8231    64.6102          0      0.336       3035      18363        384          0          4
 313.057    113.852    115.103          0      0.705     3095.7      18048        396          0          4
 321.781    60.0712    240.396          0      0.109     2722.5      17986        408          0         17
 63.9627    52.4686    294.873          0      0.486     3149.8      17283        420          0          2
 63.9146    52.3832    294.803          0      0.777       3156      18156        432          0          2
 63.7341    52.1712    294.812          0      0.809     2686.2      17964        444          0          2
  64.055     52.087    294.445          0      0.568     3311.3      17036        456          0          2
 63.9455    52.0532    294.424          0      0.759       2975      16949        468          0          2
 64.0693    51.8853    294.425          0      0.582     3185.7      18299        480          0          2
 321.518    60.7118    1.49427          0      0.018     2547.5      18470        492          0         17
