% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "1"
% phi1    Phi     phi2    value
150.00000 2.50000 165.00000 1.29827
150.00000 2.50000 170.00000 1.33869
150.00000 2.50000 175.00000 1.39422
150.00000 2.50000 180.00000 1.46687
150.00000 2.50000 185.00000 1.56509
150.00000 2.50000 190.00000 1.72593
150.00000 2.50000 195.00000 2.03109
150.00000 2.50000 200.00000 2.53534
150.00000 2.50000 205.00000 3.09125
150.00000 2.50000 210.00000 3.34299
150.00000 2.50000 215.00000 3.08486
150.00000 2.50000 220.00000 2.52360
150.00000 2.50000 225.00000 2.01577
150.00000 2.50000 230.00000 1.70910
150.00000 2.50000 235.00000 1.54867
150.00000 2.50000 240.00000 1.45232
150.00000 2.50000 245.00000 1.38239
150.00000 2.50000 250.00000 1.32979
270.00000 2.50000 45.00000 1.30946
270.00000 2.50000 50.00000 1.35760
270.00000 2.50000 55.00000 1.42418
270.00000 2.50000 60.00000 1.51127
270.00000 2.50000 65.00000 1.62737
270.00000 2.50000 70.00000 1.80802
270.00000 2.50000 75.00000 2.13321
270.00000 2.50000 80.00000 2.65537
270.00000 2.50000 85.00000 3.22469
270.00000 2.50000 90.00000 3.48337
270.00000 2.50000 95.00000 3.22469
270.00000 2.50000 100.00000 2.65537
270.00000 2.50000 105.00000 2.13321
270.00000 2.50000 110.00000 1.80802
270.00000 2.50000 115.00000 1.62737
270.00000 2.50000 120.00000 1.51127
270.00000 2.50000 125.00000 1.42418
270.00000 2.50000 130.00000 1.35760
30.00000 2.50000 285.00000 1.29827
30.00000 2.50000 290.00000 1.32979
30.00000 2.50000 295.00000 1.38239
30.00000 2.50000 300.00000 1.45232
30.00000 2.50000 305.00000 1.54867
30.00000 2.50000 310.00000 1.70910
30.00000 2.50000 315.00000 2.01577
30.00000 2.50000 320.00000 2.52360
30.00000 2.50000 325.00000 3.08486
30.00000 2.50000 330.00000 3.34299
30.00000 2.50000 335.00000 3.09125
30.00000 2.50000 340.00000 2.53534
30.00000 2.50000 345.00000 2.03109
30.00000 2.50000 350.00000 1.72593
30.00000 2.50000 355.00000 1.56509
30.00000 2.50000 0.00000 1.46687
30.00000 2.50000 5.00000 1.39422
30.00000 2.50000 10.00000 1.33869
90.00000 7.50000 225.00000 1.05971
90.00000 7.50000 230.00000 1.08568
90.00000 7.50000 235.00000 1.12167
90.00000 7.50000 240.00000 1.16959
90.00000 7.50000 245.00000 1.23753
90.00000 7.50000 250.00000 1.35869
90.00000 7.50000 255.00000 1.60491
90.00000 7.50000 260.00000 2.02483
90.00000 7.50000 265.00000 2.49381
90.00000 7.50000 270.00000 2.70862
90.00000 7.50000 275.00000 2.49381
90.00000 7.50000 280.00000 2.02483
90.00000 7.50000 285.00000 1.60491
90.00000 7.50000 290.00000 1.35869
90.00000 7.50000 295.00000 1.23753
90.00000 7.50000 300.00000 1.16959
90.00000 7.50000 305.00000 1.12167
90.00000 7.50000 310.00000 1.08568
130.00000 7.50000 185.00000 1.06941
130.00000 7.50000 190.00000 1.10039
130.00000 7.50000 195.00000 1.14280
130.00000 7.50000 200.00000 1.19788
130.00000 7.50000 205.00000 1.27315
130.00000 7.50000 210.00000 1.40020
130.00000 7.50000 215.00000 1.64836
130.00000 7.50000 220.00000 2.06413
130.00000 7.50000 225.00000 2.52451
130.00000 7.50000 230.00000 2.73204
130.00000 7.50000 235.00000 2.51461
130.00000 7.50000 240.00000 2.04527
130.00000 7.50000 245.00000 1.62300
130.00000 7.50000 250.00000 1.37199
130.00000 7.50000 255.00000 1.24562
130.00000 7.50000 260.00000 1.17360
130.00000 7.50000 265.00000 1.12305
130.00000 7.50000 270.00000 1.08568
170.00000 7.50000 150.00000 1.12916
170.00000 7.50000 155.00000 1.18530
170.00000 7.50000 160.00000 1.25708
170.00000 7.50000 165.00000 1.35125
170.00000 7.50000 170.00000 1.49852
170.00000 7.50000 175.00000 1.76748
170.00000 7.50000 180.00000 2.20294
170.00000 7.50000 185.00000 2.67695
170.00000 7.50000 190.00000 2.88529
170.00000 7.50000 195.00000 2.65417
170.00000 7.50000 200.00000 2.16248
170.00000 7.50000 205.00000 1.71641
170.00000 7.50000 210.00000 1.44355
170.00000 7.50000 215.00000 1.29807
170.00000 7.50000 220.00000 1.21005
170.00000 7.50000 225.00000 1.14704
170.00000 7.50000 230.00000 1.10039
210.00000 7.50000 110.00000 1.16235
210.00000 7.50000 115.00000 1.23548
210.00000 7.50000 120.00000 1.32891
210.00000 7.50000 125.00000 1.44765
210.00000 7.50000 130.00000 1.61981
210.00000 7.50000 135.00000 1.91009
210.00000 7.50000 140.00000 2.36013
210.00000 7.50000 145.00000 2.84223
210.00000 7.50000 150.00000 3.05453
210.00000 7.50000 155.00000 2.82270
210.00000 7.50000 160.00000 2.32193
210.00000 7.50000 165.00000 1.85721
210.00000 7.50000 170.00000 1.55947
210.00000 7.50000 175.00000 1.38760
210.00000 7.50000 180.00000 1.27519
210.00000 7.50000 185.00000 1.19168
210.00000 7.50000 190.00000 1.12916
250.00000 7.50000 65.00000 1.11691
250.00000 7.50000 70.00000 1.17795
250.00000 7.50000 75.00000 1.26157
250.00000 7.50000 80.00000 1.36916
250.00000 7.50000 85.00000 1.50631
250.00000 7.50000 90.00000 1.70024
250.00000 7.50000 95.00000 2.01462
250.00000 7.50000 100.00000 2.48837
250.00000 7.50000 105.00000 2.98861
250.00000 7.50000 110.00000 3.20882
250.00000 7.50000 115.00000 2.97468
250.00000 7.50000 120.00000 2.46481
250.00000 7.50000 125.00000 1.98631
250.00000 7.50000 130.00000 1.67057
250.00000 7.50000 135.00000 1.47779
250.00000 7.50000 140.00000 1.34397
250.00000 7.50000 145.00000 1.24083
250.00000 7.50000 150.00000 1.16235
290.00000 7.50000 25.00000 1.11691
290.00000 7.50000 30.00000 1.16235
290.00000 7.50000 35.00000 1.24083
290.00000 7.50000 40.00000 1.34397
290.00000 7.50000 45.00000 1.47779
290.00000 7.50000 50.00000 1.67057
290.00000 7.50000 55.00000 1.98631
290.00000 7.50000 60.00000 2.46481
290.00000 7.50000 65.00000 2.97468
290.00000 7.50000 70.00000 3.20882
290.00000 7.50000 75.00000 2.98861
290.00000 7.50000 80.00000 2.48837
290.00000 7.50000 85.00000 2.01462
290.00000 7.50000 90.00000 1.70024
290.00000 7.50000 95.00000 1.50631
290.00000 7.50000 100.00000 1.36916
290.00000 7.50000 105.00000 1.26157
290.00000 7.50000 110.00000 1.17795
330.00000 7.50000 345.00000 1.10827
330.00000 7.50000 350.00000 1.12916
330.00000 7.50000 355.00000 1.19168
330.00000 7.50000 0.00000 1.27519
330.00000 7.50000 5.00000 1.38760
330.00000 7.50000 10.00000 1.55947
330.00000 7.50000 15.00000 1.85721
330.00000 7.50000 20.00000 2.32193
330.00000 7.50000 25.00000 2.82270
