X         Y         Z         data
0         90        0         34.2
1.57072   89.9863   0         43.3
3.14095   89.9452   0         26.7
4.71024   89.8767   0         35.8
6.27808   89.7808   0         34.2
7.84402   89.6575   0         28.3
9.40756   89.507    0         20.8
10.9682   89.3291   0         25.8
12.5256   89.1241   0         29.2
14.0791   88.8919   0         26.7
15.6283   88.6327   0         20.8
17.1728   88.3465   0         31.7
18.7121   88.0333   0         24.2
20.2456   87.6933   0         22.5
21.773    87.3266   0         33.3
23.2937   86.9333   0         25.0
24.8074   86.5135   0         18.3
26.3134   86.0674   0         35.0
27.8115   85.5951   0         27.5
29.3011   85.0967   0         29.2
30.7818   84.5723   0         35.8
32.2531   84.0222   0         30.8
33.7146   83.4466   0         22.5
35.1658   82.8454   0         29.2
36.6063   82.2191   0         27.5
38.0356   81.5677   0         38.3
39.4534   80.8915   0         28.3
40.8591   80.1906   0         36.7
42.2524   79.4653   0         34.2
43.6329   78.7158   0         35.0
45        77.9423   0         39.2
46.3534   77.1451   0         38.3
47.6927   76.3243   0         41.7
49.0175   75.4804   0         52.5
50.3274   74.6134   0         44.2
51.6219   73.7237   0         55.0
52.9007   72.8115   0         50.8
54.1634   71.8772   0         51.7
55.4095   70.921    0         49.2
56.6388   69.9431   0         60.0
57.8509   68.944    0         67.5
59.0453   67.9239   0         57.5
60.2218   66.883    0         57.5
61.3798   65.8218   0         54.2
62.5192   64.7406   0         48.3
63.6396   63.6396   0         45.0
64.7406   62.5192   0         39.2
65.8218   61.3798   0         53.3
66.883    60.2218   0         54.2
67.9239   59.0453   0         52.5
68.944    57.8509   0         43.3
69.9431   56.6388   0         31.7
70.921    55.4095   0         35.8
71.8772   54.1634   0         34.2
72.8115   52.9007   0         38.3
73.7237   51.6219   0         40.8
74.6134   50.3274   0         40.8
75.4804   49.0175   0         30.0
76.3243   47.6927   0         26.7
77.1451   46.3534   0         33.3
77.9423   45        0         41.7
78.7158   43.6329   0         35.8
79.4653   42.2524   0         35.8
80.1906   40.8591   0         29.2
80.8915   39.4534   0         25.8
81.5677   38.0356   0         30.0
82.2191   36.6063   0         40.0
82.8454   35.1658   0         26.7
83.4466   33.7146   0         40.8
84.0222   32.2531   0         30.0
84.5723   30.7818   0         28.3
85.0967   29.3011   0         30.8
85.5951   27.8115   0         30.8
86.0674   26.3134   0         35.0
86.5135   24.8074   0         28.3
86.9333   23.2937   0         30.0
87.3266   21.773    0         44.2
87.6933   20.2456   0         36.7
88.0333   18.7121   0         28.3
88.3465   17.1728   0         29.2
88.6327   15.6283   0         27.5
88.8919   14.0791   0         37.5
89.1241   12.5256   0         35.0
89.3291   10.9682   0         40.8
89.507    9.40756   0         32.5
89.6575   7.84402   0         43.3
89.7808   6.27808   0         39.2
89.8767   4.71024   0         33.3
89.9452   3.14095   0         41.7
89.9863   1.57072   0         33.3
90        0         0         47.5
89.9863   -1.57072  0         27.5
89.9452   -3.14095  0         35.8
89.8767   -4.71024  0         36.7
89.7808   -6.27808  0         37.5
