Sample	
Comments	
Filename	C:\Windmax\Data\USERS\MSE\KYUBUM~1\NiTi_082812_42deg.raw
Goniometer	Ultima IV In-plane
Attachment	Thin Film Att.
ScanningMode	Beta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
Attenuator	open
DivSlit	1.0mm
SctSlit	2.0mm
RecSlit	2.0mm
Attenuator	
Start	0
Stop	360
Step	3
Speed	180
Offset	0
0	12
3	9
6	7
9	7
12	21
15	8
18	4
21	5
24	13
27	9
30	8
33	9
36	9
39	3
42	8
45	6
48	11
51	7
54	10
57	7
60	10
63	7
66	7
69	5
72	8
75	10
78	8
81	7
84	13
87	8
90	8
93	8
96	4
99	13
102	11
105	5
108	7
111	11
114	9
117	6
120	11
123	14
126	9
129	10
132	10
135	9
138	9
141	5
144	13
147	14
150	14
153	10
156	5
159	11
162	13
165	11
168	8
171	8
174	13
177	7
180	9
183	6
186	6
189	9
192	5
195	11
198	8
201	14
204	8
207	9
210	4
213	8
216	7
219	11
222	7
225	3
228	4
231	5
234	6
237	8
240	9
243	4
246	10
249	9
252	8
255	14
258	9
261	9
264	11
267	7
270	9
273	7
276	9
279	7
282	12
285	8
288	8
291	9
294	9
297	9
300	8
303	7
306	9
309	6
312	7
315	12
318	10
321	8
324	10
327	7
330	8
333	11
336	4
339	9
342	8
345	11
348	12
351	9
354	7
357	6
360	12
X-Ray	40kV/44mA
Attenuator	open
DivSlit	1.0mm
SctSlit	2.0mm
RecSlit	2.0mm
Attenuator	
Start	0
Stop	360
Step	3
Speed	180
Offset	0
0	29
3	38
6	42
9	35
12	40
15	31
18	36
21	44
24	44
27	33
30	38
33	38
36	36
39	40
42	39
45	26
48	41
51	32
54	44
57	41
60	38
63	50
66	36
69	61
72	40
75	31
78	55
81	56
84	44
87	47
90	65
93	48
96	54
99	53
102	53
105	72
108	52
111	57
114	51
117	48
120	42
123	47
126	74
129	51
132	65
135	53
138	59
141	61
144	60
147	50
150	42
153	67
156	62
159	51
162	54
165	66
168	55
171	48
174	53
177	29
180	47
183	58
186	42
189	50
192	42
195	49
198	41
201	55
204	40
207	57
210	52
213	55
216	60
219	48
222	46
225	38
228	47
231	48
234	42
237	39
240	28
243	40
246	30
249	35
252	45
255	46
258	42
261	46
264	42
267	53
270	62
273	55
276	49
279	45
282	53
285	37
288	43
291	30
294	26
297	38
300	38
303	40
306	43
309	33
312	42
315	34
318	42
321	40
324	38
327	33
330	26
333	46
336	36
339	44
342	38
345	44
348	28
351	37
354	38
357	35
360	29
X-Ray	40kV/44mA
Attenuator	open
DivSlit	1.0mm
SctSlit	2.0mm
RecSlit	2.0mm
Attenuator	
Start	0
Stop	360
Step	3
Speed	180
