Index	Phase	X	Y	Euler1	Euler2	Euler3	MAD	BC	BS	Bands	Error	ReliabilityIndex	
63751	1	0	90	234.12	20.846	25.195	0.5530	96	0	8	0	0.0000	
63752	1	0.6	90	233.42	20.667	25.518	0.6522	93	0	8	0	0.0000	
63753	1	1.2	90	233.84	20.907	25.575	0.6296	106	0	8	0	0.0000	
63754	1	1.8	90	234.04	20.858	25.313	0.5724	101	0	8	0	0.0000	
63755	1	2.4	90	233.92	20.407	25.225	0.5627	97	0	8	0	0.0000	
63756	1	3	90	233.60	20.367	25.691	0.5351	96	0	8	0	0.0000	
63757	1	3.6	90	233.75	20.302	25.421	0.4837	97	0	8	0	0.0000	
63758	1	4.2	90	233.97	20.399	25.230	0.5276	99	0	8	0	0.0000	
63759	1	4.8	90	233.24	20.252	25.640	0.5592	94	0	8	0	0.0000	
63760	1	5.4	90	232.81	20.170	26.125	0.5402	90	0	8	0	0.0000	
63761	1	6	90	233.20	20.091	25.628	0.7129	68	0	8	0	0.0000	
63762	1	6.6	90	232.74	20.390	26.387	0.5588	49	0	8	0	0.0000	
63763	1	7.2	90	231.27	20.061	28.113	0.9014	70	0	8	0	0.0000	
63764	0	7.8	90	0.0000	0.0000	0.0000	0.0000	17	0	0	3	1.0000	
63765	0	8.4	90	0.0000	0.0000	0.0000	0.0000	28	0	0	3	1.0000	
63766	0	9	90	0.0000	0.0000	0.0000	0.0000	20	0	0	3	1.0000	
63767	1	9.6	90	308.84	19.672	11.977	0.9350	54	0	8	0	0.0000	
63768	1	10.2	90	309.21	18.951	11.129	0.4754	89	0	8	0	0.0000	
63769	1	10.8	90	308.78	19.085	11.651	0.7997	57	0	8	0	0.0000	
63770	0	11.4	90	0.0000	0.0000	0.0000	0.0000	34	0	0	3	1.0000	
63771	0	12	90	0.0000	0.0000	0.0000	0.0000	41	0	0	3	1.0000	
63772	0	12.6	90	0.0000	0.0000	0.0000	0.0000	52	0	0	3	1.0000	
63773	0	13.2	90	0.0000	0.0000	0.0000	0.0000	45	0	0	3	1.0000	
63774	1	13.8	90	58.312	51.131	49.686	0.6144	87	0	8	0	0.0000	
63775	1	14.4	90	58.275	51.246	50.411	0.7818	96	0	8	0	0.0000	
63776	1	15	90	58.218	51.280	50.054	0.7921	96	0	8	0	0.0000	
63777	1	15.6	90	58.202	51.256	50.052	0.8091	83	0	8	0	0.0000	
63778	1	16.2	90	58.728	50.543	50.352	0.5750	86	0	8	0	0.0000	
63779	1	16.8	90	58.810	51.089	50.070	0.7573	76	0	8	0	0.0000	
63780	1	17.4	90	59.106	50.748	50.707	0.6695	75	0	8	0	0.0000	
63781	0	18	90	0.0000	0.0000	0.0000	0.0000	69	0	0	3	1.0000	
63782	1	18.6	90	9.8925	35.588	48.110	0.7119	87	0	8	0	0.0000	
63783	0	19.2	90	0.0000	0.0000	0.0000	0.0000	93	0	0	3	1.0000	
63784	0	19.8	90	0.0000	0.0000	0.0000	0.0000	116	0	0	3	1.0000	
63785	1	20.4	90	10.390	35.732	46.788	0.6691	95	0	8	0	0.0000	
63786	1	21	90	11.025	35.693	45.882	0.4997	86	0	8	0	0.0000	
63787	0	21.6	90	0.0000	0.0000	0.0000	0.0000	101	0	0	3	1.0000	
63788	0	22.2	90	0.0000	0.0000	0.0000	0.0000	96	0	0	3	1.0000	
63789	0	22.8	90	0.0000	0.0000	0.0000	0.0000	97	0	0	3	1.0000	
63790	1	23.4	90	13.176	36.460	44.160	0.6268	105	0	8	0	0.0000	
63791	0	24	90	0.0000	0.0000	0.0000	0.0000	103	0	0	3	1.0000	
63792	0	24.6	90	0.0000	0.0000	0.0000	0.0000	98	0	0	3	1.0000	
63793	1	25.2	90	13.408	35.907	43.266	0.7361	99	0	8	0	0.0000	
63794	1	25.8	90	12.367	35.250	44.696	0.4259	101	0	8	0	0.0000	
63795	1	26.4	90	12.393	35.214	44.664	0.2690	102	0	8	0	0.0000	
63796	1	27	90	12.713	35.232	44.252	0.5208	105	0	8	0	0.0000	
63797	1	27.6	90	12.636	35.229	44.367	0.5248	98	0	8	0	0.0000	
63798	1	28.2	90	12.801	35.222	44.226	0.5892	101	0	8	0	0.0000	
63799	1	28.8	90	12.750	35.296	44.385	0.8379	102	0	8	0	0.0000	
63800	0	29.4	90	0.0000	0.0000	0.0000	0.0000	111	0	0	3	1.0000	
63801	1	30	90	12.514	35.472	44.572	0.6273	111	0	8	0	0.0000	
63802	0	30.6	90	0.0000	0.0000	0.0000	0.0000	111	0	0	3	1.0000	
63803	1	31.2	90	12.300	35.862	44.712	0.7932	110	0	8	0	0.0000	
63804	1	31.8	90	134.18	27.492	47.306	0.7560	98	0	8	0	0.0000	
63805	1	32.4	90	135.37	27.616	46.424	0.4667	80	0	8	0	0.0000	
63806	0	33	90	0.0000	0.0000	0.0000	0.0000	79	0	0	3	1.0000	
63807	0	33.6	90	0.0000	0.0000	0.0000	0.0000	96	0	0	3	1.0000	
63808	1	34.2	90	46.796	47.941	42.599	0.3497	107	0	8	0	0.0000	
63809	1	34.8	90	47.392	47.544	42.364	0.6785	86	0	8	0	0.0000	
63810	1	35.4	90	4.3962	18.356	61.734	0.6115	107	0	8	0	0.0000	
63811	1	36	90	3.6836	18.145	62.620	0.6566	122	0	8	0	0.0000	
63812	1	36.6	90	4.3180	18.031	61.615	0.5463	86	0	8	0	0.0000	
63813	1	37.2	90	4.1554	18.146	61.864	0.7698	68	0	8	0	0.0000	
63814	1	37.8	90	3.4882	18.266	62.441	0.5611	89	0	8	0	0.0000	
63815	1	38.4	90	3.7014	18.125	62.380	0.6025	110	0	8	0	0.0000	
63816	1	39	90	3.8928	18.118	62.185	0.7748	114	0	8	0	0.0000	
63817	1	39.6	90	4.1953	18.119	61.830	0.5580	114	0	8	0	0.0000	
63818	1	40.2	90	4.0165	18.447	62.033	0.5628	109	0	8	0	0.0000	
63819	1	40.8	90	4.0196	18.272	61.847	0.6682	111	0	8	0	0.0000	
63820	1	41.4	90	336.07	53.081	41.412	0.3551	71	0	8	0	0.0000	
63821	1	42	90	335.94	52.849	41.779	0.4868	101	0	8	0	0.0000	
63822	1	42.6	90	335.88	52.812	42.008	0.6724	117	0	8	0	0.0000	
63823	1	43.2	90	335.75	52.305	42.428	0.4912	81	0	8	0	0.0000	
63824	0	43.8	90	0.0000	0.0000	0.0000	0.0000	78	0	0	3	1.0000	
63825	1	44.4	90	335.89	52.690	42.085	0.5360	98	0	8	0	0.0000	
63826	1	45	90	335.89	52.739	41.881	0.4950	110	0	8	0	0.0000	
63827	1	45.6	90	335.84	52.880	41.917	0.6845	89	0	8	0	0.0000	
63828	0	46.2	90	0.0000	0.0000	0.0000	0.0000	41	0	0	3	1.0000	
63829	1	46.8	90	4.8825	32.324	50.919	0.5257	77	0	8	0	0.0000	
63830	1	47.4	90	4.7959	32.396	50.844	0.3261	90	0	8	0	0.0000	
63831	1	48	90	4.7243	32.309	50.805	0.4573	99	0	8	0	0.0000	
63832	1	48.6	90	4.7468	32.300	50.911	0.3885	101	0	8	0	0.0000	
63833	1	49.2	90	4.7359	32.253	50.863	0.4834	104	0	8	0	0.0000	
63834	1	49.8	90	4.7129	32.262	50.969	0.4790	104	0	8	0	0.0000	
63835	1	50.4	90	4.8698	31.997	50.617	0.3129	104	0	8	0	0.0000	
63836	1	51	90	4.7756	31.984	50.701	0.3292	104	0	8	0	0.0000	
63837	1	51.6	90	4.8709	31.940	50.646	0.3321	106	0	8	0	0.0000	
63838	1	52.2	90	4.7166	31.976	50.750	0.3090	101	0	8	0	0.0000	
63839	1	52.8	90	182.18	34.385	47.862	0.8801	74	0	8	0	0.0000	
63840	1	53.4	90	182.74	34.340	47.637	0.7375	105	0	8	0	0.0000	
63841	1	54	90	182.29	34.462	47.907	0.6179	102	0	8	0	0.0000	
63842	1	54.6	90	182.64	34.317	47.824	0.5795	104	0	8	0	0.0000	
63843	1	55.2	90	182.87	34.496	47.425	0.8780	110	0	8	0	0.0000	
63844	1	55.8	90	182.30	34.390	47.872	0.7801	116	0	8	0	0.0000	
63845	1	56.4	90	183.56	34.574	47.015	0.5440	109	0	8	0	0.0000	
63846	1	57	90	182.28	34.451	47.923	0.6389	114	0	8	0	0.0000	
63847	1	57.6	90	183.70	34.480	46.763	0.7071	112	0	8	0	0.0000	
63848	1	58.2	90	182.87	34.301	47.654	0.5710	102	0	8	0	0.0000	
63849	1	58.8	90	182.27	34.412	47.907	0.6413	107	0	8	0	0.0000	
63850	1	59.4	90	182.43	34.490	47.908	0.5868	92	0	8	0	0.0000	
63851	0	60	90	0.0000	0.0000	0.0000	0.0000	33	0	0	3	1.0000	
63852	1	60.6	90	137.31	13.413	61.242	0.6594	83	0	8	0	0.0000	
63853	1	61.2	90	136.38	13.416	62.130	0.7215	108	0	8	0	0.0000	
63854	1	61.8	90	136.35	13.530	61.631	0.6527	107	0	8	0	0.0000	
63855	1	62.4	90	135.76	13.149	62.408	0.7102	107	0	8	0	0.0000	
63856	1	63	90	135.73	13.332	62.649	0.7035	109	0	8	0	0.0000	
63857	1	63.6	90	137.73	13.091	60.807	0.7534	104	0	8	0	0.0000	
63858	1	64.2	90	138.35	13.133	60.260	0.5330	91	0	8	0	0.0000	
63859	1	64.8	90	138.19	13.107	60.186	0.5586	99	0	8	0	0.0000	
63860	1	65.4	90	137.40	13.843	60.430	0.6799	89	0	8	0	0.0000	
63861	1	66	90	134.47	13.689	63.603	0.4625	99	0	8	0	0.0000	
63862	1	66.6	90	135.80	13.623	62.006	0.6322	114	0	8	0	0.0000	
63863	1	67.2	90	136.06	13.224	62.372	0.7724	116	0	8	0	0.0000	
63864	1	67.8	90	137.37	13.350	61.209	0.6829	108	0	8	0	0.0000	
63865	0	68.4	90	0.0000	0.0000	0.0000	0.0000	67	0	0	3	1.0000	
63866	0	69	90	0.0000	0.0000	0.0000	0.0000	106	0	0	3	1.0000	
63867	1	69.6	90	359.58	44.545	40.275	0.4873	108	0	8	0	0.0000	
63868	1	70.2	90	359.49	44.551	40.310	0.5052	109	0	8	0	0.0000	
63869	1	70.8	90	359.77	44.445	40.126	0.3579	109	0	8	0	0.0000	
63870	1	71.4	90	359.91	44.623	39.971	0.4065	115	0	8	0	0.0000	
63871	1	72	90	359.78	44.359	40.142	0.4024	115	0	8	0	0.0000	
