phi1    Phi     phi2    volume
150.00000 2.50000 120.00000 2.70028
150.00000 2.50000 125.00000 2.70028
150.00000 2.50000 130.00000 2.70028
150.00000 2.50000 135.00000 2.70028
150.00000 2.50000 140.00000 2.70028
150.00000 2.50000 145.00000 2.70028
150.00000 2.50000 150.00000 2.70028
150.00000 2.50000 155.00000 2.70028
150.00000 2.50000 160.00000 2.70028
150.00000 2.50000 165.00000 2.70028
150.00000 2.50000 170.00000 2.71051
150.00000 2.50000 175.00000 2.71697
150.00000 2.50000 -180.00000 2.73183
150.00000 2.50000 -175.00000 2.78997
150.00000 2.50000 -170.00000 3.02067
150.00000 2.50000 -165.00000 3.69564
150.00000 2.50000 -160.00000 5.00978
150.00000 2.50000 -155.00000 6.54943
150.00000 2.50000 -150.00000 7.26698
150.00000 2.50000 -145.00000 6.55134
150.00000 2.50000 -140.00000 5.01340
150.00000 2.50000 -135.00000 3.70048
150.00000 2.50000 -130.00000 3.02609
150.00000 2.50000 -125.00000 2.79530
150.00000 2.50000 -120.00000 2.73657
150.00000 2.50000 -115.00000 2.72084
150.00000 2.50000 -110.00000 2.71342
150.00000 2.50000 -105.00000 2.70028
150.00000 2.50000 -100.00000 2.70028
150.00000 2.50000 -95.00000 2.70028
150.00000 2.50000 -90.00000 2.70028
150.00000 2.50000 -85.00000 2.70028
150.00000 2.50000 -80.00000 2.70028
150.00000 2.50000 -75.00000 2.70028
150.00000 2.50000 -70.00000 2.70028
150.00000 2.50000 -65.00000 2.70028
-90.00000 2.50000 0.00000 2.70028
-90.00000 2.50000 5.00000 2.70028
-90.00000 2.50000 10.00000 2.70028
-90.00000 2.50000 15.00000 2.70028
-90.00000 2.50000 20.00000 2.70028
-90.00000 2.50000 25.00000 2.70028
-90.00000 2.50000 30.00000 2.70028
-90.00000 2.50000 35.00000 2.70028
-90.00000 2.50000 40.00000 2.70028
-90.00000 2.50000 45.00000 2.70028
-90.00000 2.50000 50.00000 2.70034
-90.00000 2.50000 55.00000 2.70110
-90.00000 2.50000 60.00000 2.72250
-90.00000 2.50000 65.00000 2.77675
-90.00000 2.50000 70.00000 3.00304
-90.00000 2.50000 75.00000 3.67351
-90.00000 2.50000 80.00000 4.98364
-90.00000 2.50000 85.00000 6.52029
-90.00000 2.50000 90.00000 7.23617
-90.00000 2.50000 95.00000 6.52029
-90.00000 2.50000 100.00000 4.98364
-90.00000 2.50000 105.00000 3.67351
-90.00000 2.50000 110.00000 3.00304
-90.00000 2.50000 115.00000 2.77675
-90.00000 2.50000 120.00000 2.72250
-90.00000 2.50000 125.00000 2.70110
-90.00000 2.50000 130.00000 2.70034
-90.00000 2.50000 135.00000 2.70028
-90.00000 2.50000 140.00000 2.70028
-90.00000 2.50000 145.00000 2.70028
-90.00000 2.50000 150.00000 2.70028
-90.00000 2.50000 155.00000 2.70028
-90.00000 2.50000 160.00000 2.70028
-90.00000 2.50000 165.00000 2.70028
-90.00000 2.50000 170.00000 2.70028
-90.00000 2.50000 175.00000 2.70028
30.00000 2.50000 -120.00000 2.70028
30.00000 2.50000 -115.00000 2.70028
30.00000 2.50000 -110.00000 2.70028
30.00000 2.50000 -105.00000 2.70028
30.00000 2.50000 -100.00000 2.70028
30.00000 2.50000 -95.00000 2.70028
30.00000 2.50000 -90.00000 2.70028
30.00000 2.50000 -85.00000 2.70028
30.00000 2.50000 -80.00000 2.70028
30.00000 2.50000 -75.00000 2.70028
30.00000 2.50000 -70.00000 2.71342
30.00000 2.50000 -65.00000 2.72084
30.00000 2.50000 -60.00000 2.73657
30.00000 2.50000 -55.00000 2.79530
30.00000 2.50000 -50.00000 3.02609
30.00000 2.50000 -45.00000 3.70048
30.00000 2.50000 -40.00000 5.02627
30.00000 2.50000 -35.00000 6.56781
30.00000 2.50000 -30.00000 7.28505
30.00000 2.50000 -25.00000 6.56643
30.00000 2.50000 -20.00000 5.02350
30.00000 2.50000 -15.00000 3.69564
30.00000 2.50000 -10.00000 3.02067
30.00000 2.50000 -5.00000 2.78997
30.00000 2.50000 0.00000 2.73183
30.00000 2.50000 5.00000 2.71697
30.00000 2.50000 10.00000 2.71051
30.00000 2.50000 15.00000 2.70028
30.00000 2.50000 20.00000 2.70028
30.00000 2.50000 25.00000 2.70028
30.00000 2.50000 30.00000 2.70028
30.00000 2.50000 35.00000 2.70028
30.00000 2.50000 40.00000 2.70028
30.00000 2.50000 45.00000 2.70028
30.00000 2.50000 50.00000 2.70028
30.00000 2.50000 55.00000 2.70028
90.00000 7.50000 -180.00000 2.05609
90.00000 7.50000 -175.00000 2.05609
90.00000 7.50000 -170.00000 2.05609
90.00000 7.50000 -165.00000 2.05609
90.00000 7.50000 -160.00000 2.05609
90.00000 7.50000 -155.00000 2.05609
90.00000 7.50000 -150.00000 2.05609
90.00000 7.50000 -145.00000 2.05609
90.00000 7.50000 -140.00000 2.06634
90.00000 7.50000 -135.00000 2.07395
90.00000 7.50000 -130.00000 2.08529
90.00000 7.50000 -125.00000 2.10153
90.00000 7.50000 -120.00000 2.12783
90.00000 7.50000 -115.00000 2.19360
90.00000 7.50000 -110.00000 2.40859
90.00000 7.50000 -105.00000 3.00365
90.00000 7.50000 -100.00000 4.14280
90.00000 7.50000 -95.00000 5.46926
90.00000 7.50000 -90.00000 6.08565
90.00000 7.50000 -85.00000 5.46926
90.00000 7.50000 -80.00000 4.14280
90.00000 7.50000 -75.00000 3.00365
90.00000 7.50000 -70.00000 2.40859
90.00000 7.50000 -65.00000 2.19360
90.00000 7.50000 -60.00000 2.12783
90.00000 7.50000 -55.00000 2.10153
90.00000 7.50000 -50.00000 2.08529
90.00000 7.50000 -45.00000 2.07395
90.00000 7.50000 -40.00000 2.06634
90.00000 7.50000 -35.00000 2.05609
90.00000 7.50000 -30.00000 2.05609
90.00000 7.50000 -25.00000 2.05609
90.00000 7.50000 -20.00000 2.05609
90.00000 7.50000 -15.00000 2.05609
90.00000 7.50000 -10.00000 2.05609
90.00000 7.50000 -5.00000 2.05609
130.00000 7.50000 140.00000 2.05609
130.00000 7.50000 145.00000 2.05609
130.00000 7.50000 150.00000 2.05609
130.00000 7.50000 155.00000 2.05609
130.00000 7.50000 160.00000 2.05609
130.00000 7.50000 165.00000 2.05609
130.00000 7.50000 170.00000 2.05609
130.00000 7.50000 175.00000 2.05609
130.00000 7.50000 -180.00000 2.05609
130.00000 7.50000 -175.00000 2.06604
130.00000 7.50000 -170.00000 2.07301
130.00000 7.50000 -165.00000 2.08365
130.00000 7.50000 -160.00000 2.10333
